"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","media.twitter.com","","President Trump and VP Pence wave goodbye to the Obamas as they depart the US Capitol","117","633","1.1K","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/wxTPMiSuhP?amp=1","1"
"","CNN Breaking News","Jan 20, 2017","Former President Obama departs the US Capitol following President Trump's inauguration ceremony","149","1.4K","2.3K","https://pbs.twimg.com/amplify_video_thumb/822500322153271298/img/-u-VDwRVw-5o4RGr.jpg","","","1"
"","CNN Breaking News","Jan 20, 2017","President Trump pledges to end 'carnage' of crime & put 'America first' in inaugural address","98","206","585","","","","1"
"","CNN Breaking News","Jan 20, 2017","speech: ""Together, we will make America great again.""","111","458","851","https://pbs.twimg.com/amplify_video_thumb/822494653400420353/img/Sr0fRDa5wa1fh6Dn.jpg","","","1"
"","CNN Breaking News","Jan 20, 2017","President Trump: ""When America is united, America is totally unstoppable.""","64","321","664","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://t.co/lK9wiqLJWI?amp=1","1"
"","Trump inauguration: Live coverage","","President Trump: ""When America is united, America is totally unstoppable.""","64","321","664","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://t.co/lK9wiqLJWI?amp=1","1"
"","Watch live and follow along with the inauguration of 45th President Donald Trump.","","President Trump: ""When America is united, America is totally unstoppable.""","64","321","664","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://t.co/lK9wiqLJWI?amp=1","1"
"","edition.cnn.com","","President Trump: ""When America is united, America is totally unstoppable.""","64","321","664","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://t.co/lK9wiqLJWI?amp=1","1"
"","CNN Breaking News","Jan 20, 2017","President Trump: ""I will never, ever let you down. America will start winning again.""","150","496","795","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://t.co/lK9wiqLJWI?amp=1","1"
"","Trump inauguration: Live coverage","","President Trump: ""I will never, ever let you down. America will start winning again.""","150","496","795","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://t.co/lK9wiqLJWI?amp=1","1"
"","Watch live and follow along with the inauguration of 45th President Donald Trump.","","President Trump: ""I will never, ever let you down. America will start winning again.""","150","496","795","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://t.co/lK9wiqLJWI?amp=1","1"
"","edition.cnn.com","","President Trump: ""I will never, ever let you down. America will start winning again.""","150","496","795","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://pbs.twimg.com/card_img/1333792798466707465/glnivktS?format=jpg&name=small","https://t.co/lK9wiqLJWI?amp=1","1"
"","CNN Breaking News","Jan 20, 2017","President Trump: ""The oath of office I take today is an oath of allegiance to all Americans""","71","281","478","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/tz8XTEyfUR?amp=1","1"
"","SnappyTV features are now in Twitter Media Studio","","President Trump: ""The oath of office I take today is an oath of allegiance to all Americans""","71","281","478","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/tz8XTEyfUR?amp=1","1"
"","SnappyTV features and core functionality can now be found in Media Studio, Twitter’s content management platform for publishers. LiveCut in Media Studio allows you to create video clips from your...","","President Trump: ""The oath of office I take today is an oath of allegiance to all Americans""","71","281","478","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/tz8XTEyfUR?amp=1","1"
"","media.twitter.com","","President Trump: ""The oath of office I take today is an oath of allegiance to all Americans""","71","281","478","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/tz8XTEyfUR?amp=1","1"
"","CNN Breaking News","Jan 20, 2017","Trump: “This moment is your moment. It belongs to you… And this — the United States of America — is your country.”","59","377","671","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/3pILzjRRDn?amp=1","1"
